"","year","MDS1","MDS2","MDS3"
"1","1982",-0.536999392493507,0.748459410624515,0.354424437866211
"2","1983",-0.296098888848348,0.337933173084945,0.39400326103466
"3","1984",0.256047391466913,0.487640388945478,0.501210018498085
"4","1985",-0.264344298027932,0.400688080047721,0.651928341015194
"5","1986",0.389818419232648,0.686015377622494,0.765270513056012
"6","1987",-0.501528386619871,-0.460011869348076,0.351116100092562
"7","1988",-0.182664975091589,0.212064321829343,0.464737910133723
"8","1989",-0.824389549975279,-0.218169616857616,0.194828731507864
"9","1990",-0.880153379539455,-0.470939490157349,0.187317150504705
"10","1991",0.130357908822256,-0.352269263429154,-0.208625132938469
"11","1992",-0.176975525977955,-0.399018029885811,0.531525768627483
"12","1993",-0.845600063456513,0.308483912563484,0.18595039037594
"13","1994",-0.677447548316728,-0.230458087937709,-0.811380412075483
"14","1995",-0.168345734335231,-0.259551006938322,-1.33646612635677
"15","1996",-0.563261601537084,0.981423059257134,-0.390130444575625
"16","1997",0.23529499709764,-0.165658753877828,-0.936634802492717
"17","1998",-0.0178944934433271,0.336092914524841,-0.302281394954277
"18","1999",-0.234007107324382,0.371089425435634,-0.405565656887023
"19","2000",0.198562792210009,0.73354999019774,-0.447011933027692
"20","2001",0.246527600248891,0.997874332144162,-0.129260065056156
"21","2002",-0.0890993927347904,-0.0200834330668895,-0.607353665736169
"22","2003",-0.0346634459330403,-0.399351372229488,-0.376638839245943
"23","2004",-0.758914575076203,-0.423007745687718,-0.502311433590952
"24","2005",-0.358486128444119,-0.294916430023201,-0.295055243885746
"25","2006",-0.52485822979899,-0.648203061739478,0.201430046921375
"26","2007",-0.389733915570348,-0.268744720147581,0.125574849517067
"27","2008",-0.134855148011802,-0.374787282646418,0.934848483093881
"28","2009",0.793430290671298,-1.23485605200929,-0.327386651145991
"29","2010",0.602758832189842,-0.342595462231814,0.420154123889608
"30","2011",0.0840903611647967,0.0811658571804465,1.02790164010384
"31","2012",0.763446335940141,-0.520216264911098,0.449775153685633
"32","2013",0.647532950242244,-0.517936876870183,0.00584937567867528
"33","2014",0.82829162289254,0.295098794866169,-0.56909485421997
"34","2015",0.522878547275505,1.00318293754371,-0.368652058382163
"35","2016",0.854836763821933,0.152187640278067,0.250874654509312
"36","2017",0.834050005285438,0.354261022984181,-0.273571365569431
"37","2018",0.502644960925149,-0.644130313467328,0.345931004362995
"38","2019",0.569752001069247,-0.242305505667718,-0.057231874334255
