"","species","MDS1","MDS2","MDS3"
"1","alaria_esculenta",0.270293288181449,-0.93572437522431,0.792802292248589
"2","arthopyrenia",-3.49573305332322,5.39756257427941,2.43094871594172
"3","ascophyllum_nodosum",5.59861879677492,0.432147524508449,-11.7506590734072
"4","ceramium_virgatum",1.21415659483767,-2.27871957156717,1.50825784836263
"5","chondrus_crispus",-1.72209448004065,-15.1059395248115,-2.69426022680045
"6","corallina_officinalis",-1.1411440566587,-2.85277168478968,-0.987190387683932
"7","coralline",0.0735090192372782,-3.17883733333602,-4.47385241858762
"8","cryptosula_pallasiana",-0.566505175621133,-0.881559087122367,-0.795267509638998
"9","cyanobacteria",-3.1472440190384,3.32621888305898,0.981389692880099
"10","elachista_fucicola",0.378789410352823,-0.23944739253931,-0.318418108009723
"11","fucus",3.63231752226541,-0.280014595295834,0.472327320416161
"12","hildenbrandia_rubra",9.2641196402401,2.37366263441374,-5.89732977200592
"13","leathesia_marina",-0.0537036402320613,-0.380408834881758,0.0188368232979615
"14","mastocarpus_stellatus",1.66422541054371,-7.31870324434841,-4.61711284267396
"15","modiolus_modiolus",-0.0775892078125164,-2.19729529734954,-0.16969219653836
"16","mytilus_edulis",11.7127205297016,-7.6854544028556,11.2493510876559
"17","phymatolithon_lenormandii",0.224557455456005,-1.21903363403219,-2.8805207499671
"18","polysiphonia",0.500703887594342,-0.359130155355835,-1.02932351785692
"19","prasiola_stipitata",-0.931116713760106,0.583270036355288,0.271030417686814
"20","rhizoclonium_tortuosum",-0.189901935638528,-0.911285200888096,-0.247037897116015
"21","semibalanus_balanoides",15.0987741325071,5.32922497734613,0.147229591006516
"22","ulva_lactuca",0.330753784100769,-0.788425306543588,0.0397942880382018
"23","verrucaria",1.12118706017922,1.91423244007713,-2.21024396458939
