"","var","regime_shift","upper","lower","upper_zi","lower_zi"
"67","Sessile MDS1 NE",1,0.0203191309071185,-0.00280197248325831,NA,NA
"68","Sessile MDS1 NE",2,0.0108812946745788,-0.0146340243900268,NA,NA
"69","Sessile MDS1 NE",3,0.0126417637992724,-0.00830221339488434,NA,NA
"70","Sessile MDS1 NW",1,0.00613574833869434,-0.0176525921821638,NA,NA
"71","Sessile MDS1 NW",2,0.017925224469769,-0.0109292995895426,NA,NA
"72","Sessile MDS1 NW",3,0.0198316864720839,-0.00757362836465033,NA,NA
"73","Sessile MDS1 SE",1,0.00580875966074224,-0.0152778723023088,NA,NA
"74","Sessile MDS1 SE",2,0.0206526006501306,-0.00619916686786118,NA,NA
"75","Sessile MDS1 SE",3,0.00812649806412822,-0.0203896916096272,NA,NA
"76","Sessile MDS1 SW",1,0.00522403216863791,-0.0185993666035342,NA,NA
"77","Sessile MDS1 SW",2,0.00437987814846923,-0.0155521871124814,NA,NA
"78","Sessile MDS1 SW",3,0.0108472950593805,-0.00934887746008896,NA,NA
"79","Sessile MDS2 BC",1,0.0229659025990197,-0.0058168658127909,NA,NA
"80","Sessile MDS2 BC",2,0.00279267242393837,-0.0339061067186793,NA,NA
"81","Sessile MDS2 BC",3,0.0013842766241857,-0.0356694280536083,NA,NA
"82","Sessile MDS2 NE",1,-0.000523994171132381,-0.0315929229341831,NA,NA
"83","Sessile MDS2 NE",2,0.0377138136715867,-0.000726070317820699,NA,NA
"84","Sessile MDS2 NE",3,0.0347968229085186,-0.00251154293201088,NA,NA
"85","Sessile MDS2 NW",1,0.0055823248450123,-0.0186247500638071,NA,NA
"86","Sessile MDS2 NW",2,0.016914171957731,-0.00499118367849786,NA,NA
"87","Sessile MDS2 NW",3,0.00955038147324946,-0.00696772345753731,NA,NA
"88","Sessile MDS2 SE",1,0.00886736620692565,-0.00354829387560236,NA,NA
"89","Sessile MDS2 SE",2,0.0123383360117431,-0.00360682064379301,NA,NA
"90","Sessile MDS2 SE",3,0.0108883727438354,-0.00454340328245116,NA,NA
"91","Sessile MDS2 SW",1,0.0198922549544713,-0.00244957671609411,NA,NA
"92","Sessile MDS2 SW",2,0.00629699788666683,-0.0115891107673732,NA,NA
"93","Sessile MDS2 SW",3,0.00600044337939545,-0.00751033662540802,NA,NA
"94","Sessile MDS3 BC",1,0.0246667704381061,-0.00447990542419804,NA,NA
"95","Sessile MDS3 BC",2,0.010222759683752,-0.021172060955964,NA,NA
"96","Sessile MDS3 BC",3,0.00982827925298465,-0.0152942187128837,NA,NA
"97","Sessile MDS3 NE",1,0.0071456934230765,-0.0231985223995151,NA,NA
"98","Sessile MDS3 NE",2,0.00774953100261925,-0.0219874853577892,NA,NA
"99","Sessile MDS3 NE",3,0.0102635353413791,-0.0216556293887041,NA,NA
"100","Sessile MDS3 NW",1,0.00110866086345865,-0.0727454615954698,NA,NA
"101","Sessile MDS3 NW",2,0.0357439106551145,-0.0111336417813864,NA,NA
"102","Sessile MDS3 NW",3,0.0273847408406938,-0.011067013675885,NA,NA
"103","Sessile MDS3 SE",1,0.00528124226969847,-0.0301472366313539,NA,NA
"104","Sessile MDS3 SE",2,0.00775583452661289,-0.0332950402255003,NA,NA
"105","Sessile MDS3 SE",3,0.00685884721285248,-0.0324006896529987,NA,NA
"106","Sessile MDS3 SW",1,0.0277918636255884,-0.00599718092796771,NA,NA
"107","Sessile MDS3 SW",2,0.00997166058197425,-0.0308709975392573,NA,NA
"108","Sessile MDS3 SW",3,0.0335287901503594,-0.00722675323666432,NA,NA
"109","Ascophyllum BC",1,0.00591339156091775,-0.0166367485780515,0.0523485981309745,-0.00571620859022496
"110","Ascophyllum BC",2,0.00773479829234995,-0.0134322914395324,0.00926630670349391,-0.0434295984665492
"111","Ascophyllum BC",3,0.00753626693005343,-0.0147148730336445,0.0198175046078568,-0.0373261660656935
"112","Ascophyllum NE",1,0.0163624178028328,-0.0194886744212308,0.150759683645145,-0.00224436880918558
"113","Ascophyllum NE",2,0.0137803485204857,-0.0322770275874527,0.0315629620531247,-0.13666585848962
"114","Ascophyllum NE",3,0.0255945413210591,-0.0242107139884419,0.146035667619734,-0.0347523484852535
"115","Ascophyllum NW",1,0.00614982219347073,-0.0289571589519994,0.0575492233179243,-0.00553921263795757
"116","Ascophyllum NW",2,0.0121956172670929,-0.0156780407811476,0.030048410811848,-0.031620324541102
"117","Ascophyllum NW",3,0.0122213466902167,-0.015051938101911,0.0207384095238865,-0.0406303198904028
"118","Ascophyllum SE",1,0.0394847070424494,-0.0137808484029274,0.0145080799563844,-0.0335285318542695
"119","Ascophyllum SE",2,0.0226310955177667,-0.035150903446846,0.0187835245543774,-0.0292317458093202
"120","Ascophyllum SE",3,0.0394226963806068,-0.028680906878945,0.031600464740065,-0.0226249401889352
"121","Ascophyllum SW",1,0.00811223722476687,-0.0176229746281571,0.00811223722476687,-0.0176229746281571
"122","Ascophyllum SW",2,0.00683393965614083,-0.0149739908862707,0.00683393965614083,-0.0149739908862707
"123","Ascophyllum SW",3,0.00671701048779268,-0.0148377020265375,0.00671701048779268,-0.0148377020265375
"124","Chondrus BC",1,0.0124899586278058,-0.0297594515282172,0.11398477980539,0.00803440448848406
"125","Chondrus BC",2,0.0214827588467246,-0.0258344154069743,0.0133706602829211,-0.13425652011096
"126","Chondrus BC",3,0.00983811730172368,-0.0324159455679096,0.029473645519414,-0.139212341662219
"127","Chondrus NE",1,0.0351354647332403,-0.00692291804727628,0.0675891613600333,-0.00941623659883285
"128","Chondrus NE",2,0.00723036025118692,-0.0298654739125106,0.0528076890398744,-0.0185609334694175
"129","Chondrus NE",3,0.00972161950703894,-0.0337827441434566,0.0586431149033793,-0.0171956459676835
"130","Chondrus NW",1,0.0383668921808424,-0.00539782805454924,0.00826969537974652,-0.0719948422561308
"131","Chondrus NW",2,0.00896962545784471,-0.020669310316477,0.0437698460780218,-0.0362367972908199
"132","Chondrus NW",3,0.0138899052403911,-0.0239362071256377,0.0591256092113121,-0.0276111686826579
"133","Chondrus SE",1,0.00865967540757933,-0.0959670942471317,0.145985802954547,0.0130309368212982
"134","Chondrus SE",2,-0.0748485430161936,-0.192582264327334,0.00846667536451576,-0.0979095467803516
"135","Chondrus SE",3,0.230251084551881,0.0893708089062459,0.106162074203461,-0.00718309901593697
"136","Chondrus SW",1,0.0391236155384215,-0.00665259480169044,0.130521512731565,-0.00978221204432308
"137","Chondrus SW",2,0.00923590302172418,-0.0390897119018273,0.0171691643258298,-0.129266906710901
"138","Chondrus SW",3,0.00503585738270039,-0.0764755203536962,0.20909695743132,0.0445666698512723
"139","C. maenas BC",1,0.127343839167453,0.00198667231483206,0.0268743033408119,-0.0814250365967681
"140","C. maenas BC",2,0.017816511778412,-0.0698518480109501,0.0420024353567745,-0.071290561835463
"141","C. maenas BC",3,0.0776243571137736,-0.0219332577708145,0.0496663188079999,-0.0553173003204987
"142","C. maenas NE",1,0.0268733171640332,-0.0878841498836156,0.0850679499531995,-0.0292854922455784
"143","C. maenas NE",2,0.0626246029929423,-0.0328912813408175,0.0584791707721848,-0.0492604610458397
"144","C. maenas NE",3,0.0622896741875562,-0.0435552821936341,0.0549489248989471,-0.0409984025757657
"145","C. maenas NW",1,0.148139676341201,-0.0168961338895473,0.0389468428118204,-0.199956584940209
"146","C. maenas NW",2,0.0163436506100556,-0.0966021971431059,0.11926146735107,-0.0955774973646563
"147","C. maenas NW",3,0.12849816924111,-0.016648974787234,0.0871698858149508,-0.126448366606279
"148","C. maenas SE",1,0.0630090651173375,-0.052334509963046,0.0318051492279732,-0.191330279792864
"149","C. maenas SE",2,0.0634742364226365,-0.0547507537697479,0.0564778851504454,-0.0882744033081913
"150","C. maenas SE",3,0.0846649898588762,-0.0415417532962858,0.116313094036071,-0.0626435339864983
"151","C. maenas SW",1,0.163250471183477,0.00356140518095175,0.0280403702666065,-0.111010279277751
"152","C. maenas SW",2,0.00285244199788751,-0.148273131392749,0.0478101759832128,-0.0539859649138425
"153","C. maenas SW",3,0.00601795969085406,-0.160448123866323,0.0603665381367552,-0.0445732069985574
"154","Fucus BC",1,0.00596903865786919,-0.0268481944355258,-0.000483152304545806,-0.0534146369014432
"155","Fucus BC",2,0.0278967843045009,-0.00990753299598462,0.0175708227268703,-0.0436810055719731
"156","Fucus BC",3,0.0264165749641384,-0.0112486388515738,0.0233365400285292,-0.0431846290394036
"157","Fucus NE",1,0.00566928883770819,-0.0335141405553256,-0.00038957259434814,-0.0879432569971157
"158","Fucus NE",2,0.0155937639822276,-0.0187738804789736,0.0492685852634311,-0.0213270077343804
"159","Fucus NE",3,0.0311669863949674,-0.00532155670786131,0.0632490803861739,-0.00646161302883299
"160","Fucus NW",1,0.00493700370664644,-0.0529708911384501,0.00655047490552833,-0.0261360599945592
"161","Fucus NW",2,0.0285748850340789,-0.0191492026096,0.0293686374789251,-0.0114154371361467
"162","Fucus NW",3,0.0384776425408017,-0.0113432715712225,0.0107076224817466,-0.0295504576436289
"163","Fucus SE",1,0.0503481893335716,-0.0187178866067971,-0.00888067617092638,-0.128408448908593
"164","Fucus SE",2,0.0132525182872269,-0.0810637186519241,-0.0272612980628669,-0.150046644981589
"165","Fucus SE",3,0.153868040259461,0.021303348435954,0.21523645080984,0.0485777050025635
"166","Fucus SW",1,0.0244061479976419,-0.00774254752549262,0.0957498810444104,-0.00779339070937234
"167","Fucus SW",2,0.0115380387749342,-0.0248520812181305,0.0114279831745871,-0.0622516417406995
"168","Fucus SW",3,0.0339170971193812,-0.00771719869203374,0.0208465088683692,-0.0573260401284727
"169","Littorina BC",1,0.121354249865161,0.0913522003082917,0.00731072852764209,-0.0124472440194325
"170","Littorina BC",2,0.173771641496955,0.128775399712973,0.00835149127784451,-0.00849958268414058
"171","Littorina BC",3,-0.0760999558141816,-0.109221023796062,0.00848855296263757,-0.0107926926006167
"172","Littorina NE",1,0.138299950330971,0.123400461872521,0.00480070972892807,-0.0684226006320144
"173","Littorina NE",2,0.167962623710771,0.14541600759101,0.0109832639103104,-0.104678160070303
"174","Littorina NE",3,0.22041905323758,0.189374098418505,0.000417719088849171,-0.124340469230548
"175","Littorina NW",1,0.337119447337834,0.26461579522768,0.00883670914498014,-0.0399049016556483
"176","Littorina NW",2,0.320090681068654,0.260662875271424,0.0250994483207772,-0.0158308669310545
"177","Littorina NW",3,0.312529545328772,0.231160753694018,0.0382246194456204,-0.00938158704184867
"178","Littorina SE",1,-0.155273597575699,-0.168118287105714,0.0136428478832896,-0.0931512038957104
"179","Littorina SE",2,0.168265984724377,0.146180946908833,-0.00399438140359809,-0.216887414136376
"180","Littorina SE",3,0.217400766097349,0.180100758867257,0.136777873192876,-0.000862416350923568
"181","Littorina SW",1,0.151216724341635,0.1261129347474,0.00742689337170125,-0.0307692845741608
"182","Littorina SW",2,0.141779335703411,0.112366431802867,0.020627008872917,-0.0118490521345254
"183","Littorina SW",3,0.14548494720219,0.104845768191032,0.0256665598682073,-0.00756550036230226
"184","Mastocarpus BC",1,0.0054394886009116,-0.0133884436238322,0.0423524220570146,-0.00568118960536667
"185","Mastocarpus BC",2,0.00604496629673756,-0.0134489062033073,0.0384756219389427,-0.00832239423604448
"186","Mastocarpus BC",3,0.0107343692496302,-0.00856938584755685,0.0118363140825465,-0.0264428858474104
"187","Mastocarpus NE",1,0.0248777790082209,-0.00887661061107802,0.0204147839221441,-0.00910398512940723
"188","Mastocarpus NE",2,0.0111850220295155,-0.0199201792999688,0.00747005772428145,-0.0371764495351945
"189","Mastocarpus NE",3,0.0260064220896912,-0.00836096491473316,0.0406578575423798,-0.00578646585097444
"190","Mastocarpus NW",1,0.0673736704454383,0.00166511153518682,0.0857100273856102,-0.0141365734955419
"191","Mastocarpus NW",2,0.00758747269700507,-0.0532096503053535,0.055032503545517,-0.0149931743920474
"192","Mastocarpus NW",3,0.0169705757887567,-0.0360543248762534,0.0484726592243384,-0.027190337489184
"193","Mastocarpus SE",1,0.035731716968737,-0.0473492563424168,0.00961035465468188,-0.0532211370655382
"194","Mastocarpus SE",2,-0.00193704458841233,-0.0935489066888951,0.0762893312821703,-0.00392746503948231
"195","Mastocarpus SE",3,0.0752082045630128,-0.011117671220773,0.045915488188955,-0.0212279015743308
"196","Mastocarpus SW",1,0.0112209581779495,-0.00447946072826056,0.00849626714988879,-0.0361415800300756
"197","Mastocarpus SW",2,0.00503928935237152,-0.0136307869641649,0.0400798684944412,-0.00769538659579168
"198","Mastocarpus SW",3,0.0158635439632873,-0.00513625799058902,0.0323234540052172,-0.0182799193488632
"199","mytilus BC",1,0.00605034446028137,-0.0313181243881064,0.146108132388417,-0.00113010729039784
"200","mytilus BC",2,0.0329724170747716,-0.0126834771357284,0.0089992286595621,-0.291177380092169
"201","mytilus BC",3,0.0269811446656254,-0.0155736618434265,0.0201769201262249,-0.207461674089179
"202","Mytilus NE",1,0.000683893661797567,-0.0947547410582119,0.0617956461126789,-0.0217447306261216
"203","Mytilus NE",2,-0.0508572608892457,-0.166140220940439,0.0521440772971336,-0.0293940883178416
"204","Mytilus NE",3,-0.051474528937416,-0.212669692752765,0.0743069815025618,-0.0112694746705194
"205","Mytilus NW",1,0.00635713055993408,-0.0207303036215848,0.245669261030081,0.0621683121185509
"206","Mytilus NW",2,0.00862700922524758,-0.0175694892405355,0.0492168264153056,-0.104760071332721
"207","Mytilus NW",3,0.00801875766551162,-0.0289165274456772,-0.00387958221636834,-0.22048328728222
"208","Mytilus SE",1,-0.0161989427410526,-0.0695121718221378,0.123120580376454,0.00553007113682654
"209","Mytilus SE",2,-0.0394071235081796,-0.115024336933602,0.062222913693351,-0.0289358324981412
"210","Mytilus SE",3,0.139702548795641,0.0563992422012288,0.084092060432876,-0.00759698134354333
"211","Mytilus SW",1,0.00434660992859423,-0.197255929929873,0.0707778511673355,-0.00796479185019103
"212","Mytilus SW",2,0.0203091648315284,-0.109447417641032,0.144778318274746,-0.010902940081746
