"sub_sp","inter_sp","lag","correlation","site"
"Urophycis_tenuis","Amphipoda",-9,0.483930577423366,"zi_NW"
"Urophycis_tenuis","Amphipoda",-8,0.479061359378471,"zi_NW"
"Urophycis_tenuis","Amphipoda",-7,0.471892789033135,"zi_NW"
"Urophycis_tenuis","Amphipoda",-6,0.462390961298207,"zi_NW"
"Urophycis_tenuis","Amphipoda",-5,0.450472234353233,"zi_NW"
"Urophycis_tenuis","Amphipoda",-4,0.436239893448471,"zi_NW"
"Urophycis_tenuis","Amphipoda",-3,0.419468622106743,"zi_NW"
"Urophycis_tenuis","Amphipoda",-2,0.400325324099813,"zi_NW"
"Urophycis_tenuis","Amphipoda",-1,0.378795925567809,"zi_NW"
"Urophycis_tenuis","Amphipoda",0,0.35495997693679,"zi_NW"
"Urophycis_tenuis","Amphipoda",1,0.319153884525645,"zi_NW"
"Urophycis_tenuis","Amphipoda",2,0.282851007903627,"zi_NW"
"Urophycis_tenuis","Amphipoda",3,0.246136523054262,"zi_NW"
"Urophycis_tenuis","Amphipoda",4,0.208962741513032,"zi_NW"
"Urophycis_tenuis","Amphipoda",5,0.171495752398832,"zi_NW"
"Urophycis_tenuis","Amphipoda",6,0.133536123593334,"zi_NW"
"Urophycis_tenuis","Amphipoda",7,0.0952684802100146,"zi_NW"
"Urophycis_tenuis","Amphipoda",8,0.0570364896161601,"zi_NW"
"Urophycis_tenuis","Amphipoda",9,0.0184745756264687,"zi_NW"
"Urophycis_tenuis","Amphipoda",10,-0.020253711347389,"zi_NW"
"Urophycis_tenuis","Amphipoda",11,-0.0589368316720924,"zi_NW"
"Urophycis_tenuis","Amphipoda",12,-0.0976230359273668,"zi_NW"
"Urophycis_tenuis","Amphipoda",13,-0.136559727274175,"zi_NW"
"Urophycis_tenuis","Amphipoda",14,-0.175147923505115,"zi_NW"
"Urophycis_tenuis","Amphipoda",15,-0.213467939193139,"zi_NW"
"Urophycis_tenuis","Amphipoda",16,-0.251532349529259,"zi_NW"
"Urophycis_tenuis","Amphipoda",-16,0.270320668233996,"zi_NE"
"Urophycis_tenuis","Amphipoda",-15,0.284412313970394,"zi_NE"
"Urophycis_tenuis","Amphipoda",-14,0.298264217442403,"zi_NE"
"Urophycis_tenuis","Amphipoda",-13,0.311785822211758,"zi_NE"
"Urophycis_tenuis","Amphipoda",-12,0.324860934519581,"zi_NE"
"Urophycis_tenuis","Amphipoda",-11,0.33738451636963,"zi_NE"
"Urophycis_tenuis","Amphipoda",-10,0.349254449799897,"zi_NE"
