"","var","regime_shift","upper","lower","upper_zi","lower_zi"
"1","Amphipoda BC",1,-0.518769149363635,-0.593066337239771,-0.0278404957988157,-0.28394748784276
"2","Amphipoda BC",2,-0.80530757733199,-0.932955901319878,-0.0476975190116946,-0.32376412364054
"3","Amphipoda BC",3,-0.752175574246874,-1.14052427819739,0.306881061032031,0.00212584393999813
"4","Amphipoda NE",1,-0.407919802541353,-0.443697149989605,0.194648685613057,-0.0061079221337805
"5","Amphipoda NE",2,-0.969199791392105,-1.03128685621376,0.052717277712316,-0.120039965689859
"6","Amphipoda NE",3,-0.849809675555148,-0.942964774284443,0.368668677750508,0.13003210155718
"7","Amphipoda NW",1,-1.43048025134785,-1.65576647599915,0.0163019039275045,-0.242850155444425
"8","Amphipoda NW",2,0.978561794760103,0.7332745378806,0.203707887602984,-0.0433402651184567
"9","Amphipoda NW",3,1.94495108468822,1.38734768100249,0.43960494430919,0.113478068883358
"10","Amphipoda SE",1,0.575146174730544,0.532575899730626,0.0259711985512919,-0.123715363443246
"11","Amphipoda SE",2,-0.355763465340848,-0.389995514651229,0.0135236660392672,-0.10847743546237
"12","Amphipoda SE",3,-0.83102089014714,-0.969836057903472,0.248515236904846,0.0672223032309247
"13","Amphipoda SW",1,-0.349812925832971,-0.438175517454545,0.0120634957270362,-0.256847504676209
"14","Amphipoda SW",2,0.482036359581886,0.377563210192303,0.296291108457128,-0.0311237492179363
"15","Amphipoda SW",3,-2.51739924295191,-3.45558608402608,-0.103365424840484,-0.54541815578766
"16","Ascophyllum BC",1,0.0918178275231153,0.00961961446520829,-0.0169126343041112,-0.192679370399448
"17","Ascophyllum BC",2,0.0229307475737894,-0.0409674013615105,0.0620917865810561,-0.0614242757465144
"18","Ascophyllum BC",3,0.0366926127176138,-0.0204419379370729,0.0376194544273085,-0.0877833989152922
"19","Ascophyllum NE",1,0.11188989476067,-0.00323908235621687,0.242544704478291,-0.0214578581638516
"20","Ascophyllum NE",2,0.0876173167537543,-0.0483598193009641,0.17745354398104,-0.155732609191905
"21","Ascophyllum NE",3,0.0689896961107533,-0.129890156755623,0.389700811100945,-0.0700197168223296
"22","Ascophyllum NW",1,0.125085488964004,0.00461488730688327,-0.0165992253359811,-0.224316930065413
"23","Ascophyllum NW",2,0.034305161179976,-0.0352461338318754,0.0771594659116072,-0.0714607682216349
"24","Ascophyllum NW",3,0.0342446020214362,-0.0413268883854708,0.09801671494402,-0.0417706499306985
"25","Ascophyllum SE",1,0.169195960786275,-0.00457660771477983,0.13645632268837,-0.0552208028368677
"26","Ascophyllum SE",2,0.137624115432568,-0.0578024859504871,0.0548842208432293,-0.0920605432648571
"27","Ascophyllum SE",3,0.181061096652734,-0.0362289821374402,0.0504688882540233,-0.123678873101517
"28","Ascophyllum SW",1,0.0634455652337212,-0.01500645038045,0.0634455652337212,-0.01500645038045
"29","Ascophyllum SW",2,0.0396139065545637,-0.0168061424414893,0.0396139065545637,-0.0168061424414893
"30","Ascophyllum SW",3,-0.0046764953389302,-0.0774629643220698,-0.0046764953389302,-0.0774629643220698
"31","C. maenas BC",1,0.244452242514613,0.00183081534128192,0.447450942791198,-0.127981792265154
"32","C. maenas BC",2,0.0720234904696601,-0.121114280952452,0.125377968914729,-0.364305728154525
"33","C. maenas BC",3,-0.0114686019882784,-0.215679216429593,0.183551281616744,-0.31623800159355
"34","C. maenas NE",1,0.00534420819390339,-0.411301428465082,0.0706568352583715,-0.379687385572399
"35","C. maenas NE",2,0.134037105776165,-0.267007056149552,0.26185244159629,-0.308445418299997
"36","C. maenas NE",3,0.327607100596894,-0.170049375034486,0.339230089764093,-0.234205259400103
"37","C. maenas NW",1,0.0214371010828123,-0.322290243349488,0.219438538321488,-0.537583426658667
"38","C. maenas NW",2,-0.014274372841223,-0.354143084143325,0.263708954629813,-0.668098966084021
"39","C. maenas NW",3,0.15585097008241,-0.153600886689178,0.202295752405095,-0.795311261836228
"40","C. maenas SE",1,0.256218174904285,-0.633328292888111,0.163952127034264,-0.852110954418884
"41","C. maenas SE",2,0.324688123331478,-0.535054056877314,0.145446853653354,-1.96103257911338
"42","C. maenas SE",3,0.213066724367632,-0.181687260133972,0.140384973625574,-1.47512972319306
"43","C. maenas SW",1,0.0358874114793978,-0.26681241698929,0.46607844511098,-0.106705244258746
"44","C. maenas SW",2,0.171690313456363,-0.0816524758904121,0.153106436011431,-0.338792566840302
"45","C. maenas SW",3,-0.0721850477067976,-0.451850116382506,0.156493436216614,-0.395095181541007
"46","Chondrus BC",1,0.0936705936625881,-0.00967164171250091,0.220617228089978,0.00273943253001141
"47","Chondrus BC",2,0.0698126084179191,-0.018892756152475,-0.019235383678644,-0.326941307156312
"48","Chondrus BC",3,-0.0459392109390374,-0.188607101457649,0.493983198600331,0.128193597196652
"49","Chondrus NE",1,0.082982705407476,-0.00850388330353664,0.239073534342243,0.0145173513736976
"50","Chondrus NE",2,0.0281290783093224,-0.0724643849739282,0.0582899373464026,-0.123816164669906
"51","Chondrus NE",3,0.0252092766425931,-0.0766907866651732,0.132525659581299,-0.0489945377412842
"52","Chondrus NW",1,0.107845001252819,-0.00261699565462627,0.278134552028516,0.0623449160303658
"53","Chondrus NW",2,0.0336081428067106,-0.0596612216447122,0.10046725095167,-0.0926311025067752
"54","Chondrus NW",3,0.0264256996388389,-0.0755767901485898,0.227866081483625,0.00422019376007837
