strgrp_desc,stratum,stratum_name,stratum_area,midlat,midlon,minlat,maxlat,minlon,maxlon,blocks,notows,doe,doc,uoe,uoc
INSHORE SOUTH,7620,    CAPE FEAR,132,33.52,-78.03,33.36,33.58,77.46,78.33,28,2,,,,
INSHORE SOUTH,7630,    CAPE FEAR,664,33.45,-78.1,33.27,33.58,77.33,78.32,141,3,,,,
INSHORE SOUTH,7640,    CAPE FEAR,836,33.3,-78.04,33.19,33.55,77.2,78.24,188,4,,,,
INSHORE SOUTH,7650,    LONG BAY,180,33.35,-78.57,33.14,33.51,78.32,79.1,,,,,,
INSHORE SOUTH,7660,    LONG BAY,735,33.28,-78.47,32.59,33.5,78.24,79.06,,,,,,
INSHORE SOUTH,7670,    LONG BAY,629,33.16,-78.33,32.54,33.37,78.14,78.52,,,,,,
INSHORE SOUTH,7680,    CAPE ROMAIN,229,32.59,-79.21,32.42,33.19,79.05,79.51,,,,,,
INSHORE SOUTH,7690,    CAPE ROMAIN,484,32.53,-79.17,32.35,33.11,78.52,79.44,,,,,,
INSHORE SOUTH,7700,    CAPE ROMAIN,365,32.49,-79.04,32.31,33.01,78.48,79.31,,,,,,
INSHORE SOUTH,7710,CAPE HATTERAS,149,0,0,32.23,0,79.44,80.24,,,,,,
INSHORE SOUTH,7720,CAPE HATTERAS,561,0,0,32.12,32.42,79.3,80.17,,,,,,
INSHORE SOUTH,7730,CAPE HATTERAS,463,0,0,32.02,32.35,79.22,80.05,,,,,,
INSHORE SOUTH,7740,CAPE HATTERAS,221,0,0,31.59,32.27,80.18,80.53,,,,,,
INSHORE SOUTH,7750,CAPE HATTERAS,408,0,0,31.51,32.23,80.06,80.45,,,,,,
INSHORE SOUTH,7760,CAPE HATTERAS,408,0,0,31.45,32.12,79.52,80.26,,,,,,
INSHORE SOUTH,7770,CAPE HATTERAS,225,0,0,31.24,32.01,80.46,81.13,,,,,,
INSHORE SOUTH,7780,CAPE HATTERAS,689,0,0,31.17,31.59,80.26,81.06,,,,,,
INSHORE SOUTH,7790,CAPE HATTERAS,506,0,0,31.12,31.51,80.13,80.49,,,,,,
INSHORE SOUTH,7800,CAPE HATTERAS,234,0,0,30.45,31.27,81.07,81.27,,,,,,
INSHORE SOUTH,7810,CAPE HATTERAS,689,0,0,30.45,31.24,80.47,81.23,,,,,,
INSHORE SOUTH,7820,CAPE HATTERAS,421,0,0,30.45,31.17,80.32,81.03,,,,,,
INSHORE SOUTH,7830,CAPE HATTERAS,51,0,0,29.58,30.45,81.17,81.27,,,,,,
INSHORE SOUTH,7840,CAPE HATTERAS,548,0,0,29.58,30.45,81.01,81.24,,,,,,
INSHORE SOUTH,7850,CAPE HATTERAS,731,0,0,29.58,30.45,80.44,81.12,,,,,,
INSHORE SOUTH,7860,CAPE HATTERAS,29,0,0,29.12,29.58,80.59,81.18,,,,,,
INSHORE SOUTH,7870,CAPE HATTERAS,349,0,0,29.12,29.58,80.48,81.17,,,,,,
INSHORE SOUTH,7880,CAPE HATTERAS,1016,0,0,29.12,29.59,80.18,81.07,,,,,,
INSHORE SOUTH,7890,CAPE HATTERAS,23,0,0,28.4,29.12,80.31,81,,,,,,
INSHORE SOUTH,7900,CAPE HATTERAS,323,0,0,28.4,29.12,80.22,80.59,,,,,,
INSHORE SOUTH,7910,CAPE HATTERAS,366,0,0,28.41,29.12,80.18,80.5,,,,,,
OFFSHORE SOUTH,8500,    CAPE HATTRAS,796,34.55,-75.38,34.29,35.3,74.53,76.14,178,3,,,,
OFFSHORE SOUTH,8510,    CAPE HATTRAS,268,35.01,-75.21,34.25,35.3,74.52,75.57,62,2,,,,
OFFSHORE SOUTH,8520,    CAPE HATTRAS,216,34.42,-75.34,34.24,35.3,74.51,75.52,53,2,,,,
OFFSHORE SOUTH,8530,    CAPE HATTRAS,150,34.5,-75.23,34.21,35.3,74.5,75.5,37,2,,,,
OFFSHORE SOUTH,8540,    CAPE LOOKOUT,1764,33.58,-76.5,33.28,34.42,75.57,77.22,411,6,,,,
OFFSHORE SOUTH,8550,    CAPE LOOKOUT,277,33.58,-76.24,33.25,34.29,75.51,77.04,62,2,,,,
OFFSHORE SOUTH,8560,    CAPE LOOKOUT,283,34,-76.15,33.22,34.26,75.49,77.01,61,2,,,,
OFFSHORE SOUTH,8570,    CAPE LOOKOUT,537,33.54,-76.15,33.17,34.24,75.45,76.59,125,4,,,,
OFFSHORE SOUTH,8580,    CAPE FEAR,1456,33.15,-77.5,32.52,33.54,77.03,78.29,333,5,,,,
OFFSHORE SOUTH,8590,    CAPE FEAR,211,33.05,-77.48,32.5,33.28,77.01,78.16,47,2,,,,
OFFSHORE SOUTH,8600,    CAPE FEAR,339,33,-77.47,32.44,33.25,76.59,78.14,79,2,,,,
OFFSHORE SOUTH,8770,    CAPE FEAR,1183,33,-77.23,32.27,33.22,76.55,78.08,256,4,,,,
OFFSHORE SOUTH,8780,CAPE HATTERAS,1777,0,0,32.06,0,0,79.35,,,,,,
OFFSHORE SOUTH,8790,CAPE HATTERAS,293,0,0,32,0,0,79.22,,,,,,
OFFSHORE SOUTH,8800,CAPE HATTERAS,259,0,0,31.57,0,0,79.15,,,,,,
OFFSHORE SOUTH,8810,CAPE HATTERAS,,0,0,31.52,0,0,79.11,,,,,,
OFFSHORE SOUTH,8820,CAPE HATTERAS,1857,0,0,31.01,32.12,79.22,80.33,,,,,,
OFFSHORE SOUTH,8830,CAPE HATTERAS,476,0,0,31,32.07,79.15,80.01,,,,,,
OFFSHORE SOUTH,8840,CAPE HATTERAS,242,0,0,30.59,32,79.11,79.59,,,,,,
OFFSHORE SOUTH,8850,CAPE HATTERAS,451,0,0,30.55,31.57,79.04,79.56,,,,,,
OFFSHORE SOUTH,8860,CAPE HATTERAS,2070,0,0,29.59,31.13,80.02,80.48,,,,,,
OFFSHORE SOUTH,8870,CAPE HATTERAS,166,0,0,30.01,31.01,79.59,80.19,,,,,,
OFFSHORE SOUTH,8880,CAPE HATTERAS,119,0,0,30.01,31,79.56,80.16,,,,,,
OFFSHORE SOUTH,8890,CAPE HATTERAS,468,0,0,30.01,30.59,79.44,80.14,,,,,,
OFFSHORE SOUTH,8900,CAPE HATTERAS,1003,0,0,28.43,30,80.09,80.47,,,,,,
OFFSHORE SOUTH,8910,CAPE HATTERAS,327,0,0,28.44,30,80.03,80.21,,,,,,
OFFSHORE SOUTH,8920,CAPE HATTERAS,149,0,0,28.44,30,80,80.16,,,,,,
OFFSHORE SOUTH,8930,CAPE HATTERAS,327,0,0,28.45,30.01,79.53,80.14,,,,,,
MASS INSHORE GF SURVEY,9110,BBV BUZZBAY/VIN,100,41.42,-70.41,41.14,41.44,70.18,71.07,,,,,,
MASS INSHORE GF SURVEY,9120,BBV BUZZBAY/VIN,168,41.3,-70.49,41.12,41.41,70.2,71.08,,,,,,
MASS INSHORE GF SURVEY,9130,BBV BUZZBAY/VIN,88,41.27,-70.58,41.11,41.31,70.28,71.08,,,,,,
MASS INSHORE GF SURVEY,9140,BBV BUZZBAY/VIN,20,41.22,-70.55,41.11,41.27,70.44,71.02,,,,,,
MASS INSHORE GF SURVEY,9150,NTS NANTUCKETSD,192,41.3,-70.21,41.18,41.41,70,70.4,,,,,,
MASS INSHORE GF SURVEY,9160,NTS NANTUCKETSD,210,41.27,-70.08,41.19,41.38,69.59,70.4,,,,,,
MASS INSHORE GF SURVEY,9170,ECC EASTCAPECOD,86,41.23,-70,41.11,42.06,69.53,70.21,,,,,,
MASS INSHORE GF SURVEY,9180,ECC EASTCAPECOD,89,41.38,-69.54,41.11,42.06,69.52,70.21,,,,,,
MASS INSHORE GF SURVEY,9190,ECC EASTCAPECOD,40,41.56,-69.56,41.11,42.07,69.51,70.19,,,,,,
MASS INSHORE GF SURVEY,9200,ECC EASTCAPECOD,21,42.01,-69.59,41.1,42.08,69.52,70.15,,,,,,
MASS INSHORE GF SURVEY,9210,ECC EASTCAPECOD,26,42.06,-70.12,41.13,42.09,69.52,70.15,,,,,,
MASS INSHORE GF SURVEY,9250,CCB CAPECOD BAY,62,41.49,-70.05,41.44,42.1,70.01,70.43,,,,,,
MASS INSHORE GF SURVEY,9260,CCB CAPECOD BAY,90,41.47,-70.13,41.44,42.1,70.05,70.42,,,,,,
MASS INSHORE GF SURVEY,9270,CCB CAPECOD BAY,92,41.49,-70.22,41.46,42.1,70.06,70.4,,,,,,
MASS INSHORE GF SURVEY,9280,CCB CAPECOD BAY,94,41.54,-70.25,41.51,42.09,70.08,70.35,,,,,,
MASS INSHORE GF SURVEY,9290,CCB CAPECOD BAY,105,42.01,-70.25,41.55,42.08,70.1,70.33,,,,,,
MASS INSHORE GF SURVEY,9300,CCB CAPECOD BAY,33,42.05,-70.22,42.02,42.08,70.14,70.28,,,,,,
MASS INSHORE GF SURVEY,9310,MSB MASS BAY,36,42.24,-70.57,42.09,42.53,70.33,71,,,,,,
MASS INSHORE GF SURVEY,9320,MSB MASS BAY,55,42.23,-70.55,42.09,42.53,70.33,70.58,,,,,,
MASS INSHORE GF SURVEY,9330,MSB MASS BAY,66,42.21,-70.49,42.09,42.53,70.33,70.56,,,,,,
MASS INSHORE GF SURVEY,9340,MSB MASS BAY,53,42.25,-70.5,42.16,42.53,70.32,70.54,,,,,,
MASS INSHORE GF SURVEY,9350,MSB MASS BAY,68,42.28,-70.42,42.18,42.45,70.3,70.5,,,,,,
MASS INSHORE GF SURVEY,9360,MSB MASS BAY,39,42.3,-70.38,42.2,42.45,70.3,70.42,,,,,,
